SAH_ID;SAH_TIMESTAMP;STO_ID;SAH_POSNUM;SAH_TRXNUM;PRO_ID;SAD_PRODQTY;SAD_PRODAMT;SAD_TAX1AMT;SAD_TAX2AMT
100000;2021-01-21 12:19:54;825;3;100000;17063;6;737208;140070;0
100000;2021-01-21 12:19:54;825;3;100000;64998;3;127176;24163;0
99999;2021-01-29 13:01:03;416;11;99999;51707;8;752232;142924;0
99999;2021-01-29 13:01:03;416;11;99999;44633;3;73539;13972;0
99999;2021-01-29 13:01:03;416;11;99999;91629;2;240088;45617;0
99999;2021-01-29 13:01:03;416;11;99999;85847;4;244304;46418;0
99999;2021-01-29 13:01:03;416;11;99999;84078;6;352440;66964;0
99999;2021-01-29 13:01:03;416;11;99999;5547;6;248382;47193;0
99999;2021-01-29 13:01:03;416;11;99999;84663;3;154797;29411;0
99999;2021-01-29 13:01:03;416;11;99999;98453;9;399582;75921;0
99999;2021-01-29 13:01:03;416;11;99999;9507;6;147948;28110;0
99999;2021-01-29 13:01:03;416;11;99999;91215;3;67422;12810;0
99999;2021-01-29 13:01:03;416;11;99999;43398;7;177660;33755;0
99999;2021-01-29 13:01:03;416;11;99999;77340;3;420156;79830;0
99999;2021-01-29 13:01:03;416;11;99999;41429;6;581898;110561;0
99999;2021-01-29 13:01:03;416;11;99999;87294;7;43708;8305;0
99999;2021-01-29 13:01:03;416;11;99999;79234;8;150280;28553;0
99999;2021-01-29 13:01:03;416;11;99999;32775;1;45571;8658;0
99999;2021-01-29 13:01:03;416;11;99999;74640;4;24348;4626;0
99999;2021-01-29 13:01:03;416;11;99999;61955;8;618048;117429;0
99999;2021-01-29 13:01:03;416;11;99999;74085;9;436257;82889;0
99999;2021-01-29 13:01:03;416;11;99999;81710;5;645705;122684;0
99999;2021-01-29 13:01:03;416;11;99999;37698;4;311312;59149;0
99999;2021-01-29 13:01:03;416;11;99999;98230;2;89476;17000;13421
99999;2021-01-29 13:01:03;416;11;99999;17688;5;534970;101644;0
99999;2021-01-29 13:01:03;416;11;99999;35468;1;107975;20515;0
99999;2021-01-29 13:01:03;416;11;99999;19795;8;374160;71090;44899
99999;2021-01-29 13:01:03;416;11;99999;49489;2;4182;795;0
99999;2021-01-29 13:01:03;416;11;99999;77738;4;267136;50756;0
99999;2021-01-29 13:01:03;416;11;99999;46992;1;135033;25656;0
99999;2021-01-29 13:01:03;416;11;99999;72788;6;128970;24504;0
99999;2021-01-29 13:01:03;416;11;99999;37105;7;816550;155144;0
99999;2021-01-29 13:01:03;416;11;99999;68231;8;654528;124360;0
99999;2021-01-29 13:01:03;416;11;99999;69763;5;36520;6939;0
99999;2021-01-29 13:01:03;416;11;99999;13820;9;211599;40204;0
99999;2021-01-29 13:01:03;416;11;99999;48028;4;186740;35481;0
99999;2021-01-29 13:01:03;416;11;99999;53575;2;164992;31348;0
99999;2021-01-29 13:01:03;416;11;99999;70263;1;98606;18735;0
99999;2021-01-29 13:01:03;416;11;99999;60971;8;1037016;197033;0
